area,ID,latitude,longitude,PSR_ID,perimeter
1.757,2539,-81.185,267.137,SP_811850_2671370,7.680
1.642,2529,-79.851,91.752,SP_798510_0917520,6.240
2.390,2533,-81.177,92.196,SP_811770_0921960,7.680
1.037,2479,-82.122,270.363,SP_821220_2703630,5.040
61.906,2482,-77.198,271.019,SP_771980_2710190,79.920
1.584,2476,-81.097,89.427,SP_810970_0894270,6.240
24.912,2478,-81.234,89.049,SP_812340_0890490,31.920
40.450,2470,-80.965,88.611,SP_809650_0886110,36.720
1.814,2475,-76.768,270.431,SP_767680_2704310,7.200
4.162,2468,-77.821,270.758,SP_778210_2707580,13.200
2.779,2469,-79.583,270.811,SP_795830_2708110,9.600
11.606,2504,-78.305,269.513,SP_783050_2695130,19.200
2.707,2509,-77.908,269.253,SP_779080_2692530,8.400
2.318,2497,-80.221,269.411,SP_802210_2694110,7.680
2.030,2498,-78.876,269.547,SP_788760_2695470,7.440
1.469,2493,-80.482,269.632,SP_804820_2696320,5.520
7.186,2495,-81.136,269.681,SP_811360_2696810,12.960
3.946,2489,-80.923,269.973,SP_809230_2699730,9.120
8.669,2490,-77.914,270.059,SP_779140_2700590,18.000
11.938,2602,-77.772,264.690,SP_777720_2646900,20.640
1.368,2608,-77.649,264.246,SP_776490_2642460,7.200
1.210,2599,-75.742,265.362,SP_757420_2653620,5.040
4.723,2601,-78.170,264.464,SP_781700_2644640,10.080
1.512,2590,-76.985,265.710,SP_769850_2657100,6.000
3.341,2596,-77.849,265.010,SP_778490_2650100,12.240
11.894,2587,-80.230,95.602,SP_802300_0956020,15.600
6.077,2589,-77.707,94.373,SP_777070_0943730,14.160
3.269,2643,-81.113,100.061,SP_811130_1000610,8.880
46.166,2645,-80.699,260.957,SP_806990_2609570,60.480
1.008,2637,-76.491,263.561,SP_764910_2635610,4.800
